cell,model,dataset,class,ece,auroc,prevalence,log_npos,feature_spread,objective,dataset_cat,multilabel
M6_D3,S4D,CODE-15%,AF,0.007174126111878134,0.6317048853439682,0.014202171936631203,1.2304489213782739,15.066460609436035,supervised,D3,0
M6_D3,S4D,CODE-15%,NORM,0.03787186478554947,0.6556582886090299,0.3834586441516876,2.661812685537261,15.066460609436035,supervised,D3,0
M1_D4,MERL,CPSC2018,Normal,0.02370467984585343,0.943759733409247,0.1290009766817093,2.123851640967086,48.772979736328125,contrastive,D4,0
M1_D4,MERL,CPSC2018,AF,0.03365416256241724,0.9645891340044263,0.15615907311439514,2.2068258760318495,48.772979736328125,contrastive,D4,0
M1_D4,MERL,CPSC2018,IAVB,0.021539339049212358,0.9530040398813907,0.10572259873151779,2.037426497940624,48.772979736328125,contrastive,D4,0
M1_D4,MERL,CPSC2018,LBBB,0.008843286563917793,0.9895971668880036,0.026188166812062263,1.4313637641589874,48.772979736328125,contrastive,D4,0
M1_D4,MERL,CPSC2018,RBBB,0.01766057881652629,0.9809849727548692,0.27546072006225586,2.4533183400470375,48.772979736328125,contrastive,D4,0
M1_D4,MERL,CPSC2018,PAC,0.03120382630233041,0.7454656715220096,0.10475266724824905,2.03342375548695,48.772979736328125,contrastive,D4,0
M1_D4,MERL,CPSC2018,PVC,0.031289835344894365,0.805478235119929,0.10669253021478653,2.041392685158225,48.772979736328125,contrastive,D4,0
M1_D4,MERL,CPSC2018,STD,0.024272038818009066,0.9368139993427539,0.1319107711315155,2.1335389083702174,48.772979736328125,contrastive,D4,0
M1_D4,MERL,CPSC2018,STE,0.02628302761320282,0.8686160199186251,0.03200776129961014,1.5185139398778875,48.772979736328125,contrastive,D4,0
M2_D4,ST-MEM,CPSC2018,Normal,0.041708244466530674,0.96268231826783,0.1290009766817093,2.123851640967086,0.2802838981151581,masked,D4,0
M2_D4,ST-MEM,CPSC2018,AF,0.02447106098949444,0.9824659099021917,0.15615907311439514,2.2068258760318495,0.2802838981151581,masked,D4,0
M2_D4,ST-MEM,CPSC2018,IAVB,0.03072589668740288,0.9716511771378535,0.10572259873151779,2.037426497940624,0.2802838981151581,masked,D4,0
M2_D4,ST-MEM,CPSC2018,LBBB,0.008024317787377031,0.9947616939648811,0.026188166812062263,1.4313637641589874,0.2802838981151581,masked,D4,0
M2_D4,ST-MEM,CPSC2018,RBBB,0.03347865136816521,0.9825122084582462,0.27546072006225586,2.4533183400470375,0.2802838981151581,masked,D4,0
M2_D4,ST-MEM,CPSC2018,PAC,0.049084728554099046,0.8901328197102846,0.10475266724824905,2.03342375548695,0.2802838981151581,masked,D4,0
M2_D4,ST-MEM,CPSC2018,PVC,0.04155185923576222,0.9187444477346758,0.10669253021478653,2.041392685158225,0.2802838981151581,masked,D4,0
M2_D4,ST-MEM,CPSC2018,STD,0.04371758892570258,0.9496878080841276,0.1319107711315155,2.1335389083702174,0.2802838981151581,masked,D4,0
M2_D4,ST-MEM,CPSC2018,STE,0.03205189482695409,0.8978866824558208,0.03200776129961014,1.5185139398778875,0.2802838981151581,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,Normal,0.0624277377450906,0.8943182008473298,0.1290009766817093,2.123851640967086,0.7592968344688416,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,AF,0.05205312571789012,0.9432498036695939,0.15615907311439514,2.2068258760318495,0.7592968344688416,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,IAVB,0.06670070032776852,0.8458974307946426,0.10572259873151779,2.037426497940624,0.7592968344688416,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,LBBB,0.006978255512033157,0.9965692784417883,0.026188166812062263,1.4313637641589874,0.7592968344688416,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,RBBB,0.04193446819503953,0.9569498651884533,0.27546072006225586,2.4533183400470375,0.7592968344688416,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,PAC,0.09468353410885257,0.6787548653745835,0.10475266724824905,2.03342375548695,0.7592968344688416,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,PVC,0.04691696575089755,0.8375283782449906,0.10669253021478653,2.041392685158225,0.7592968344688416,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,STD,0.0517283833724345,0.9013227078540913,0.1319107711315155,2.1335389083702174,0.7592968344688416,masked,D4,0
M3_D4,HuBERT-ECG,CPSC2018,STE,0.03212765166859606,0.8278678569259732,0.03200776129961014,1.5185139398778875,0.7592968344688416,masked,D4,0
M4_D4,ECGFM-KED,CPSC2018,Normal,0.029770495169617647,0.8702044643903746,0.1290009766817093,2.123851640967086,0.1535399854183197,knowledge,D4,0
M4_D4,ECGFM-KED,CPSC2018,AF,0.025353947599459557,0.8370457628328694,0.15615907311439514,2.2068258760318495,0.1535399854183197,knowledge,D4,0
M4_D4,ECGFM-KED,CPSC2018,IAVB,0.024208374342309345,0.8035284284264363,0.10572259873151779,2.037426497940624,0.1535399854183197,knowledge,D4,0
M4_D4,ECGFM-KED,CPSC2018,LBBB,0.007694721629152939,0.9527445772465692,0.026188166812062263,1.4313637641589874,0.1535399854183197,knowledge,D4,0
M4_D4,ECGFM-KED,CPSC2018,RBBB,0.03301161022284738,0.9550502479401173,0.27546072006225586,2.4533183400470375,0.1535399854183197,knowledge,D4,0
M4_D4,ECGFM-KED,CPSC2018,PAC,0.033472091285626546,0.6175013041210224,0.10475266724824905,2.03342375548695,0.1535399854183197,knowledge,D4,0
M4_D4,ECGFM-KED,CPSC2018,PVC,0.02910539423624992,0.7159609120521173,0.10669253021478653,2.041392685158225,0.1535399854183197,knowledge,D4,0
M4_D4,ECGFM-KED,CPSC2018,STD,0.025519363521504197,0.8094479132435097,0.1319107711315155,2.1335389083702174,0.1535399854183197,knowledge,D4,0
M4_D4,ECGFM-KED,CPSC2018,STE,0.018110481408098445,0.830539867614016,0.03200776129961014,1.5185139398778875,0.1535399854183197,knowledge,D4,0
M5_D4,ECG-FM,CPSC2018,Normal,0.03745833927035588,0.8866319473516754,0.1290009766817093,2.123851640967086,0.7071269750595093,hybrid,D4,0
M5_D4,ECG-FM,CPSC2018,AF,0.042487115337570915,0.8725066038409366,0.15615907311439514,2.2068258760318495,0.7071269750595093,hybrid,D4,0
M5_D4,ECG-FM,CPSC2018,IAVB,0.0366603180486377,0.8039463471909888,0.10572259873151779,2.037426497940624,0.7071269750595093,hybrid,D4,0
M5_D4,ECG-FM,CPSC2018,LBBB,0.009012478345479864,0.9805592445034675,0.026188166812062263,1.4313637641589874,0.7071269750595093,hybrid,D4,0
M5_D4,ECG-FM,CPSC2018,RBBB,0.02308556422006429,0.9740935573279031,0.27546072006225586,2.4533183400470375,0.7071269750595093,hybrid,D4,0
M5_D4,ECG-FM,CPSC2018,PAC,0.05040290823009115,0.6436138196701577,0.10475266724824905,2.03342375548695,0.7071269750595093,hybrid,D4,0
M5_D4,ECG-FM,CPSC2018,PVC,0.029927127824130196,0.7842167604382588,0.10669253021478653,2.041392685158225,0.7071269750595093,hybrid,D4,0
M5_D4,ECG-FM,CPSC2018,STD,0.03649287055536579,0.8623726585606311,0.1319107711315155,2.1335389083702174,0.7071269750595093,hybrid,D4,0
M5_D4,ECG-FM,CPSC2018,STE,0.025167444353230168,0.8116839740086234,0.03200776129961014,1.5185139398778875,0.7071269750595093,hybrid,D4,0
M6_D4,S4D,CPSC2018,Normal,0.018033693153258874,0.806303062779443,0.1290009766817093,2.123851640967086,42.600223541259766,supervised,D4,0
M6_D4,S4D,CPSC2018,AF,0.03137734659522893,0.7655457985293068,0.15615907311439514,2.2068258760318495,42.600223541259766,supervised,D4,0
M6_D4,S4D,CPSC2018,IAVB,0.01962394987541771,0.7958168321757647,0.10572259873151779,2.037426497940624,42.600223541259766,supervised,D4,0
M6_D4,S4D,CPSC2018,LBBB,0.012000324777409923,0.9439648812158772,0.026188166812062263,1.4313637641589874,42.600223541259766,supervised,D4,0
M6_D4,S4D,CPSC2018,RBBB,0.05137965638115764,0.9199002583102363,0.27546072006225586,2.4533183400470375,42.600223541259766,supervised,D4,0
M6_D4,S4D,CPSC2018,PAC,0.026382984759894385,0.6265498976766583,0.10475266724824905,2.03342375548695,42.600223541259766,supervised,D4,0
M6_D4,S4D,CPSC2018,PVC,0.019503004357298185,0.8554042049156055,0.10669253021478653,2.041392685158225,42.600223541259766,supervised,D4,0
