endpoint,endpoint_class,model_id,model,dataset_id,dataset,alpha,target_coverage,method,n_test,n_cal,n_test_pos,n_test_neg,coverage,coverage_tp,coverage_tn,avg_set_size,singleton_rate,empty_rate,both_rate,conformal_quantile,quantile_is_inf
NORM,NORM,M4,ECGFM-KED,D1,PTB-XL,0.1,0.9,temperature,299,297,142,157,0.9163879598662207,0.9295774647887324,0.9044585987261147,1.4013377926421404,0.5986622073578596,0.0,0.4013377926421405,0.652072767923896,False
NORM,NORM,M4,ECGFM-KED,D1,PTB-XL,0.2,0.8,raw,299,297,142,157,0.8193979933110368,0.8309859154929577,0.8089171974522293,1.120401337792642,0.8795986622073578,0.0,0.12040133779264214,0.5755168432131942,False
NORM,NORM,M4,ECGFM-KED,D1,PTB-XL,0.2,0.8,platt,299,297,142,157,0.8127090301003345,0.7887323943661971,0.8343949044585988,1.1070234113712374,0.8929765886287625,0.0,0.10702341137123746,0.5704952478630612,False
NORM,NORM,M4,ECGFM-KED,D1,PTB-XL,0.2,0.8,isotonic,299,297,142,157,0.8127090301003345,0.852112676056338,0.7770700636942676,1.1103678929765886,0.8896321070234113,0.0,0.11036789297658862,0.5172413793103448,False
NORM,NORM,M4,ECGFM-KED,D1,PTB-XL,0.2,0.8,temperature,299,297,142,157,0.8193979933110368,0.8309859154929577,0.8089171974522293,1.120401337792642,0.8795986622073578,0.0,0.12040133779264214,0.5374616064864224,False
NORM,Normal,M4,ECGFM-KED,D4,CPSC2018,0.1,0.9,raw,1031,1031,133,898,0.9020368574199806,0.39849624060150374,0.9766146993318485,1.0096993210475267,0.9903006789524733,0.0,0.009699321047526674,0.5206615041835554,False
NORM,Normal,M4,ECGFM-KED,D4,CPSC2018,0.1,0.9,platt,1031,1031,133,898,0.9020368574199806,0.3684210526315789,0.9810690423162584,1.0077594568380213,0.9922405431619786,0.0,0.007759456838021339,0.5364188429007093,False
NORM,Normal,M4,ECGFM-KED,D4,CPSC2018,0.1,0.9,isotonic,1031,1031,133,898,0.9127061105722599,0.39097744360902253,0.9899777282850779,1.032007759456838,0.967992240543162,0.0,0.03200775945683802,0.5142857142857142,False
NORM,Normal,M4,ECGFM-KED,D4,CPSC2018,0.1,0.9,temperature,1031,1031,133,898,0.9020368574199806,0.39849624060150374,0.9766146993318485,1.0096993210475267,0.9903006789524733,0.0,0.009699321047526674,0.5191341330273732,False
NORM,Normal,M4,ECGFM-KED,D4,CPSC2018,0.2,0.8,raw,1031,1031,133,898,0.8069835111542192,0.15037593984962405,0.9042316258351893,0.8651794374393792,0.8651794374393792,0.13482056256062075,0.0,0.30206899485191363,False
NORM,Normal,M4,ECGFM-KED,D4,CPSC2018,0.2,0.8,platt,1031,1031,133,898,0.8050436469447139,0.12781954887218044,0.9053452115812918,0.8642095053346266,0.8642095053346266,0.13579049466537343,0.0,0.19592579668486038,False
NORM,Normal,M4,ECGFM-KED,D4,CPSC2018,0.2,0.8,isotonic,1031,1031,133,898,0.8060135790494666,0.007518796992481203,0.9242761692650334,0.8642095053346266,0.8642095053346266,0.13579049466537343,0.0,0.2,False
NORM,Normal,M4,ECGFM-KED,D4,CPSC2018,0.2,0.8,temperature,1031,1031,133,898,0.8069835111542192,0.15037593984962405,0.9042316258351893,0.8651794374393792,0.8651794374393792,0.13482056256062075,0.0,0.31529194850131476,False
NORM,SR,M4,ECGFM-KED,D5,MIMIC-IV-ECG,0.1,0.9,raw,301,298,269,32,0.9269102990033222,0.9962825278810409,0.34375,1.2757475083056478,0.7242524916943521,0.0,0.2757475083056478,0.8504240199323494,False
