dataset_id,dataset_name,model_id,model_name,cal_size,rep,method,auroc,ece_ew,brier
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,100,4,mlp_head,0.848893,0.093475,0.116817
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,0,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,0,monotone_platt,0.879274,0.05116,0.088447
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,0,isotonic,0.823007,0.03828,0.097892
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,0,mlp_head,0.863001,0.084387,0.10484
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,1,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,1,monotone_platt,0.879274,0.058755,0.09052
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,1,isotonic,0.816495,0.047847,0.099415
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,1,mlp_head,0.853492,0.092802,0.111214
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,2,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,2,monotone_platt,0.879274,0.058332,0.088973
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,2,isotonic,0.826542,0.042183,0.096366
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,2,mlp_head,0.855998,0.081274,0.105023
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,3,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,3,monotone_platt,0.879274,0.059199,0.089422
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,3,isotonic,0.834497,0.046095,0.097513
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,3,mlp_head,0.830764,0.076281,0.10923
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,4,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,4,monotone_platt,0.879274,0.058431,0.092099
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,4,isotonic,0.824345,0.042696,0.100209
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,150,4,mlp_head,0.839946,0.070175,0.107806
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,0,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,0,monotone_platt,0.879274,0.04852,0.088865
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,0,isotonic,0.825036,0.03881,0.096728
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,0,mlp_head,0.851168,0.090007,0.109724
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,1,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,1,monotone_platt,0.879274,0.04809,0.088757
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,1,isotonic,0.825044,0.041154,0.096992
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,1,mlp_head,0.865262,0.073068,0.102461
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,2,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,2,monotone_platt,0.879274,0.049066,0.088752
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,2,isotonic,0.825044,0.041689,0.096954
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,2,mlp_head,0.851981,0.077821,0.107369
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,3,raw,0.835555,0.077066,0.101008
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,3,monotone_platt,0.879274,0.050524,0.088748
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,3,isotonic,0.824187,0.042193,0.097104
D1,PTB-XL,M2_stmem_probe,ST-MEM probe,200,3,mlp_head,0.847552,0.082043,0.102911
