cell,model,dataset,method,macro_ece,macro_nll,macro_brier,macro_auroc,macro_auroc_loss_vs_raw,max_class_auroc_loss,selections
M2_D4,ST-MEM,CPSC2018,ranksafe_eps0.01,0.0182,0.1586,0.0399,0.949,0.0011,0.0037,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""temperature"", ""IAVB"": ""platt"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""isotonic"", ""PVC"": ""isotonic"", ""STD"": ""platt"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""isotonic"", ""AF"": ""temperature"", ""IAVB"": ""platt"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""isotonic"", ""PVC"": ""isotonic"", ""STD"": ""platt"", ""STE"": ""platt""}}"
M3_D4,HuBERT-ECG,CPSC2018,raw,0.0506,0.2703,0.0676,0.8758,0.0,0.0,
M3_D4,HuBERT-ECG,CPSC2018,platt,0.0296,0.2252,0.063,0.8758,0.0,0.0,
M3_D4,HuBERT-ECG,CPSC2018,temperature,0.041,0.2255,0.0653,0.8758,0.0,0.0003,
M3_D4,HuBERT-ECG,CPSC2018,isotonic,0.0208,0.2227,0.0615,0.8675,0.0084,0.0212,
M3_D4,HuBERT-ECG,CPSC2018,ranksafe_eps0.005,0.0298,0.2206,0.0626,0.8755,0.0003,0.003,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""platt"", ""IAVB"": ""platt"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""platt"", ""STD"": ""platt"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""isotonic"", ""AF"": ""platt"", ""IAVB"": ""isotonic"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""platt"", ""STD"": ""platt"", ""STE"": ""platt""}}"
M3_D4,HuBERT-ECG,CPSC2018,ranksafe_eps0.01,0.0258,0.2178,0.0619,0.8745,0.0014,0.0082,"{""eps0.005"": {""Normal"": ""temperature"", ""AF"": ""platt"", ""IAVB"": ""platt"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""platt"", ""STD"": ""platt"", ""STE"": ""platt""}, ""eps0.01"": {""Normal"": ""isotonic"", ""AF"": ""platt"", ""IAVB"": ""isotonic"", ""LBBB"": ""temperature"", ""RBBB"": ""isotonic"", ""PAC"": ""platt"", ""PVC"": ""platt"", ""STD"": ""platt"", ""STE"": ""platt""}}"
M4_D4,ECGFM-KED,CPSC2018,raw,0.0251,0.257,0.0723,0.8213,0.0,0.0,
M4_D4,ECGFM-KED,CPSC2018,platt,0.029,0.255,0.0726,0.8213,0.0,0.0,
M4_D4,ECGFM-KED,CPSC2018,temperature,0.0291,0.2558,0.0726,0.8213,0.0,0.0,
M4_D4,ECGFM-KED,CPSC2018,isotonic,0.0205,0.2545,0.0716,0.8137,0.0076,0.0303,
